nut,yPlus,k,p_rgh,p,omega,U0,U1,U2,Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
2.62432e-05,0,7.20763e-06,6.60153,12.207,0.274648,-0.159917,-6.15982e-05,-3.17025e-05,0.000356138,-0.000139716,1,-9.375,1.6125,-0.200538,118,2
2.62484e-05,0,7.21068e-06,6.59653,12.5342,0.274709,-0.15987,-9.57181e-05,-3.79214e-05,0.000370555,-0.000172068,1,-9.375,1.41429,-0.200571,119,2
2.63346e-05,0,7.2454e-06,6.57064,15.7259,0.275129,-0.159722,-0.000211644,-0.000102604,0.000357164,-5.47539e-05,1,-8.625,1.6125,-0.200895,120,2
2.62777e-05,0,7.22164e-06,6.58079,14.0399,0.27482,-0.159758,-0.000169864,-6.54498e-05,0.000465241,-0.000140857,1,-9,1.6125,-0.200724,121,2
2.63687e-05,0,7.26095e-06,6.57869,15.8417,0.275362,-0.15979,-0.0001218,-0.000111724,0.000254379,4.26881e-05,1,-8.625,1.41429,-0.200906,122,2
2.62917e-05,0,7.2286e-06,6.57923,14.3449,0.274938,-0.159736,-0.000171431,-7.57152e-05,0.000429789,-0.000132274,1,-9,1.41429,-0.200755,123,2
2.65836e-05,0,7.35128e-06,6.64566,16.6084,0.27653,-0.160569,0.000550604,-6.83693e-05,-0.000406265,0.000488726,1,-7.875,1.6125,-0.200976,124,2
2.64291e-05,0,7.28536e-06,6.58517,16.8281,0.275655,-0.159958,-3.58966e-05,-0.000116864,7.06514e-05,0.000137461,1,-8.25,1.6125,-0.201004,125,2
2.67489e-05,0,7.42152e-06,6.69566,15.3161,0.277442,-0.161077,0.00106663,-3.05991e-05,-0.000625597,0.000788845,0.999999,-7.875,1.41429,-0.200842,126,2
2.65054e-05,0,7.31851e-06,6.6113,16.4997,0.276111,-0.160209,0.000236735,-0.000103065,-0.000115911,0.000383516,1,-8.25,1.41429,-0.200969,127,2
2.61916e-05,0,7.18424e-06,6.61326,12.3256,0.274295,-0.159991,1.63086e-06,-1.09186e-05,-3.28488e-06,1.1903e-07,1,-14.25,2.20714,-0.200549,128,2
2.61917e-05,0,7.18413e-06,6.61298,12.341,0.27429,-0.160001,1.4959e-06,-1.04993e-05,-2.07292e-06,4.00944e-07,1,-15,2.20714,-0.20055,129,2
2.61913e-05,0,7.18445e-06,6.61363,12.2947,0.274307,-0.159988,9.7572e-07,-1.11848e-05,-2.64578e-06,-1.81051e-06,1,-13.5,2.20714,-0.200546,130,2
2.61906e-05,0,7.18462e-06,6.61349,12.2926,0.27432,-0.159976,-2.95296e-06,-1.12451e-05,3.80807e-06,-5.21854e-06,1,-12.75,2.20714,-0.200545,131,2
2.61896e-05,0,7.18476e-06,6.61306,12.3442,0.274336,-0.159966,-6.57692e-06,-1.15973e-05,7.19561e-06,1.5286e-06,1,-12,2.20714,-0.200551,132,2
2.61889e-05,0,7.1852e-06,6.61432,12.356,0.27436,-0.15998,1.13083e-05,-9.78669e-06,-1.3974e-05,3.71625e-05,1,-11.25,2.20714,-0.200552,133,2
