Normals0,Normals1,Normals2,Points0,Points1,Points2,vtkOriginalIndices,vtkCompositeIndexArray
-0.00127572,0.0799254,0.9968,-3.5625,0.621429,-0.200492,280,2
-0.000975841,0.0854427,0.996343,-3.75,0.621429,-0.200612,281,2
-0.0022057,0.180799,0.983518,-2.90625,0.630865,-0.2,282,2
-0.00164861,0.11715,0.993113,-3,0.670982,-0.207075,283,2
-0.00900898,0.169312,0.985521,-3,0.6287,-0.2,284,2
-0.00108132,0.117598,0.993061,-2.90625,0.670982,-0.206894,285,2
-0.00122615,0.146105,0.989268,-2.15625,0.635822,-0.2,286,2
-0.00261023,0.0948616,0.995487,-2.25,0.670982,-0.20504,287,2
-0.00130159,0.150925,0.988544,-2.25,0.635121,-0.2,288,2
-0.00258129,0.091807,0.995773,-2.15625,0.670982,-0.204783,289,2
0.000279983,0.15589,0.987774,-1.45312,0.637105,-0.2,290,2
-0.000761463,0.124245,0.992251,-1.5,0.646205,-0.201399,291,2
1.9451e-05,0.15941,0.987213,-1.5,0.637133,-0.2,292,2
-0.000566112,0.121429,0.9926,-1.45312,0.646205,-0.201371,293,2
0.00235214,0.0510089,0.998695,-0.703125,0.646205,-0.201978,294,2
0.00215117,0.0567724,0.998385,-0.75,0.646205,-0.201881,295,2
0.00585926,0.0607026,0.998139,-0.703125,0.621429,-0.200371,296,2
0.00559111,0.068247,0.997653,-0.75,0.621429,-0.200103,297,2
-0.00189684,0.00471423,0.999987,-7.125,1.46321,-0.2,298,2
-0.00161468,0.00296415,0.999994,-7.5,1.41429,-0.200584,299,2
-0.00216544,0.00400194,0.99999,-7.23139,1.41429,-0.2,300,2
-0.00126737,0.00320512,0.999994,-7.125,1.6125,-0.200706,301,2
-0.000870115,0.00150707,0.999998,-7.5,1.6125,-0.201067,302,2
-0.00125757,0.00626324,0.99998,-6.56168,1.6125,-0.2,303,2
-0.00102159,0.00426113,0.99999,-6.75,1.6125,-0.200238,304,2
-0.0015891,0.00669432,0.999976,-6.75,1.58172,-0.2,305,2
0.00074617,0.00135348,0.999999,-1.40625,1.46384,-0.200527,306,2
0.000748686,0.00154538,0.999999,-1.5,1.46384,-0.200458,307,2
0.000766222,0.0024241,0.999997,-1.40625,1.41429,-0.200415,308,2
0.000831946,0.00239568,0.999997,-1.5,1.41429,-0.20034,309,2
0.000871701,0.00476742,0.999988,-0.65625,1.46384,-0.201712,310,2
0.00139452,0.00430905,0.99999,-0.75,1.46384,-0.201614,311,2
0.000798109,0.00524177,0.999986,-0.65625,1.41429,-0.201497,312,2
0.00126985,0.00521876,0.999986,-0.75,1.41429,-0.201403,313,2
-0.000623417,0.0024483,0.999997,-7.125,2.00893,-0.201171,314,2
-0.000422616,0.00160352,0.999999,-7.5,2.00893,-0.201491,315,2
-0.000773197,0.0014363,0.999999,-7.125,1.81071,-0.200914,316,2
-0.000823199,0.00094629,0.999999,-7.5,1.81071,-0.201208,317,2
-0.000211774,0.00294537,0.999996,-6.375,2.00893,-0.200711,318,2
-0.000548818,0.0027701,0.999996,-6.75,2.00893,-0.200858,319,2
-0.000479492,0.00259985,0.999996,-6.375,1.81071,-0.200589,320,2
-0.000513243,0.00151074,0.999999,-6.75,1.81071,-0.200732,321,2
0.000295175,0.00231925,0.999997,-5.625,2.00893,-0.200899,322,2
0.000133912,0.00289106,0.999996,-6,2.00893,-0.200738,323,2
0.00035647,0.00418831,0.999991,-5.625,1.81071,-0.200585,324,2
-5.29918e-06,0.00343124,0.999994,-6,1.81071,-0.200514,325,2
0.00164828,-0.00255497,0.999995,-4.89324,1.90982,-0.201216,326,2
-0.000324749,0.000360656,1,-5.23452,2.00075,-0.201032,327,2
0.00114512,-0.00131255,0.999998,-5.23831,1.81689,-0.200779,328,2
0.000218474,-0.00122748,0.999999,-4.88765,2.00224,-0.200843,329,2
0.00223017,-0.0025246,0.999994,-4.89598,1.82181,-0.201399,330,2
0.00060864,0.00441421,0.99999,-5.25,1.81071,-0.20078,331,2
-0.0010601,0.000701729,0.999999,-5.25,2.00893,-0.201054,332,2
0.00227496,0.00271197,0.999994,-4.875,1.81071,-0.201478,333,2
0.00137793,-0.00325615,0.999994,-4.875,1.90982,-0.201263,334,2
0.000375149,-0.00308941,0.999995,-4.875,2.00893,-0.200847,335,2
-0.000826563,-0.00392027,0.999992,-4.3125,1.90982,-0.200865,336,2
-0.000834787,-0.00466593,0.999989,-4.5,1.90982,-0.201054,337,2
