nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1.38028e-05,1,0,3.46562e-06,-0.0504883,31643.1,0.251082,-0.0799963,0,-4.30704e-07,-11.25,0,-3.35,85,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504176,31643.1,0.251082,-0.079996,0,-2.81673e-07,-10.5,0,-3.35,86,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503702,31643.1,0.251081,-0.0799959,0,-1.73455e-07,-9.75,0,-3.35,87,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503561,31643.1,0.251081,-0.0799961,0,-1.3837e-07,-9.375,0,-3.35,88,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503518,31643.1,0.251081,-0.0799968,0,-1.12378e-07,-8.625,0,-3.35,89,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503501,31643.1,0.251081,-0.0799963,0,-1.19868e-07,-9,0,-3.35,90,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503798,31643.1,0.251081,-0.0799986,0,-7.70786e-08,-7.875,0,-3.35,91,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503616,31643.1,0.251081,-0.0799976,0,-1.0687e-07,-8.25,0,-3.35,92,0,2
1.38026e-05,1,0,3.4656e-06,-0.0509204,30554.8,0.251082,-0.0800002,-8.16569e-11,-8.65097e-07,-15,0.225,-3.24167,93,0,2
1.38028e-05,1,0,3.46563e-06,-0.050868,30554.8,0.251081,-0.079999,0,-8.4377e-07,-14.25,0,-3.24167,94,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507686,30554.8,0.251081,-0.0799982,0,-7.92948e-07,-13.5,0,-3.24167,95,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506747,30554.8,0.251081,-0.0799973,0,-7.19482e-07,-12.75,0,-3.24167,96,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505985,30554.8,0.251082,-0.0799965,0,-6.26462e-07,-12,0,-3.24167,97,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505512,30554.8,0.251082,-0.0799957,0,-5.03767e-07,-11.25,0,-3.24167,98,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505281,30554.8,0.251082,-0.079995,0,-3.25848e-07,-10.5,0,-3.24167,99,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505345,30554.8,0.251081,-0.0799945,0,-8.19586e-08,-9.75,0,-3.24167,100,0,2
1.38028e-05,1,0,3.46563e-06,-0.050552,30554.8,0.251081,-0.0799942,0,7.7759e-08,-9.375,0,-3.24167,101,0,2
1.38028e-05,1,0,3.46563e-06,-0.0506267,30554.8,0.251081,-0.0799936,0,5.22657e-07,-8.625,0,-3.24167,102,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505818,30554.8,0.251081,-0.0799939,0,2.78431e-07,-9,0,-3.24167,103,0,2
1.38028e-05,1,0,3.46563e-06,-0.0507726,30554.8,0.251081,-0.0799927,0,1.07988e-06,-7.875,0,-3.24167,104,0,2
1.38028e-05,1,0,3.46563e-06,-0.0506893,30554.8,0.251081,-0.0799932,0,7.97992e-07,-8.25,0,-3.24167,105,0,2
1.38026e-05,1,0,3.4656e-06,-0.0509426,29466.6,0.251082,-0.0800002,5.43265e-10,-1.35926e-06,-15,0.225,-3.13333,106,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508877,29466.6,0.251081,-0.079999,0,-1.29996e-06,-14.25,0,-3.13333,107,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507798,29466.6,0.251081,-0.0799982,0,-1.1721e-06,-13.5,0,-3.13333,108,0,2
1.38028e-05,1,0,3.46562e-06,-0.050676,29466.6,0.251081,-0.0799974,0,-1.01355e-06,-12.75,0,-3.13333,109,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505733,29466.6,0.251082,-0.0799967,0,-8.02618e-07,-12,0,-3.13333,110,0,2
1.38028e-05,1,0,3.46562e-06,-0.0504802,29466.6,0.251082,-0.0799962,0,-5.68792e-07,-11.25,0,-3.13333,111,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504104,29466.6,0.251082,-0.079996,0,-3.70901e-07,-10.5,0,-3.13333,112,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503652,29466.6,0.251081,-0.0799959,0,-2.279e-07,-9.75,0,-3.13333,113,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503522,29466.6,0.251081,-0.079996,0,-1.81777e-07,-9.375,0,-3.13333,114,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503494,29466.6,0.251081,-0.0799967,0,-1.51769e-07,-8.625,0,-3.13333,115,0,2
1.38028e-05,1,0,3.46563e-06,-0.050347,29466.6,0.251081,-0.0799962,0,-1.58521e-07,-9,0,-3.13333,116,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503787,29466.6,0.251081,-0.0799985,0,-1.26827e-07,-7.875,0,-3.13333,117,0,2
1.38028e-05,1,0,3.46563e-06,-0.0503599,29466.6,0.251081,-0.0799974,0,-1.5092e-07,-8.25,0,-3.13333,118,0,2
1.38026e-05,1,0,3.4656e-06,-0.0509277,28378.3,0.251082,-0.0800001,-5.58217e-10,-1.11734e-06,-15,0.225,-3.025,119,0,2
1.38028e-05,1,0,3.46563e-06,-0.0508742,28378.3,0.251081,-0.079999,0,-1.09095e-06,-14.25,0,-3.025,120,0,2
1.38028e-05,1,0,3.46562e-06,-0.0507696,28378.3,0.251081,-0.0799982,0,-1.02564e-06,-13.5,0,-3.025,121,0,2
1.38028e-05,1,0,3.46562e-06,-0.0506708,28378.3,0.251081,-0.0799972,0,-9.31419e-07,-12.75,0,-3.025,122,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505944,28378.3,0.251082,-0.0799964,0,-8.15334e-07,-12,0,-3.025,123,0,2
1.38028e-05,1,0,3.46562e-06,-0.0505465,28378.3,0.251082,-0.0799956,0,-6.59816e-07,-11.25,0,-3.025,124,0,2
1.38028e-05,1,0,3.46563e-06,-0.05052,28378.3,0.251082,-0.079995,0,-4.30402e-07,-10.5,0,-3.025,125,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505226,28378.3,0.251081,-0.0799944,0,-1.14739e-07,-9.75,0,-3.025,126,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505382,28378.3,0.251081,-0.0799942,0,9.04045e-08,-9.375,0,-3.025,127,0,2
1.38028e-05,1,0,3.46563e-06,-0.0506086,28378.3,0.251081,-0.0799936,0,6.72469e-07,-8.625,0,-3.025,128,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505659,28378.3,0.251081,-0.0799939,0,3.50114e-07,-9,0,-3.025,129,0,2
